split,year,threshold,coverage,selective_accuracy,full_accuracy,selected_matches,total_matches
pooled_rolling_origin,,0.65,0.38908816311119504,0.7855409995147986,0.6067585425712667,2061,5297
rolling_year,2018.0,0.65,0.263724434876211,0.7836734693877551,0.5748116254036598,245,929
rolling_year,2021.0,0.65,0.43408071748878924,0.8471074380165289,0.6538116591928251,484,1115
rolling_year,2022.0,0.65,0.3268041237113402,0.7697160883280757,0.5824742268041238,317,970
rolling_year,2023.0,0.65,0.4497153700189753,0.7721518987341772,0.6252371916508539,474,1054
rolling_year,2024.0,0.65,0.4401952807160293,0.7523105360443623,0.5915378356387306,541,1229
holdout_2025_2026,,0.65,0.4036697247706422,0.8371212121212122,0.6192660550458715,528,1308
