model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,kind
blend_player_scorer__lightgbm_player_scorer,pooled_rolling_origin,0.866168189941611,0.50902321162243,0.16835618056508578,0.6054370398338682,0.010963736673231935,0.606744183719382,5297,blend
blend_player_scorer__hist_gbm_player_scorer,pooled_rolling_origin,0.867258541198617,0.5096576412064487,0.16854460469935925,0.6044931093071549,0.011465745950261065,0.6096401649609782,5297,blend
logistic_fifa_baseline,pooled_rolling_origin,0.8691629711985045,0.5107196376810463,0.16903001199437956,0.6084576175193506,0.017997713516499297,0.615107485626031,5297,single
logistic_player_scorer,pooled_rolling_origin,0.8692678390402483,0.5109506455083667,0.16907832684200544,0.6043043232018124,0.016142564159637704,0.6177601023351393,5297,single
lightgbm_player_scorer,pooled_rolling_origin,0.8750473067932092,0.5142857984694237,0.1708363570437929,0.5984519539361903,0.015109444862835006,0.5933383747519037,5297,single
hist_gbm_player_scorer,pooled_rolling_origin,0.876286700813269,0.5148736397678875,0.17082017775587158,0.5976968095148197,0.012414691900656279,0.597318732495444,5297,single
